
JANUARY 2024.
1st January 2024: Temperature: 11°C Wind: 4km/h Humidity:10% .
2nd January 2024: Temperature: 10°C Wind: 8km/h Humidity:73% .
3rd January 2024: Temperature: 12°C Wind: 7km/h Humidity:61% .
4th January 2024: Temperature: 12°C Wind: 8km/h Humidity:57% .
5th January 2024: Temperature: 13°C Wind: 6km/h Humidity:56% .
6th January 2024: Temperature: 13°C Wind: 6km/h Humidity:56% .
7th January 2024: Temperature: 13°C Wind: 6km/h Humidity:60% .
8th January 2024: Temperature: 12°C Wind: 5km/h Humidity:68% .
9th January 2024: Temperature: 13°C Wind: 6km/h Humidity:69% .
10th January 2024: Temperature: 14°C Wind: 6km/h Humidity:52% .
11th January 2024: Temperature: 13°C Wind: 5km/h Humidity:68% .
12th January 2024: Temperature: 13°C Wind: 7km/h Humidity:65% .
13th January 2024: Temperature: 12°C Wind: 5km/h Humidity:83% .
14th January 2024: Temperature: 10°C Wind: 6km/h Humidity:83% .
15th January 2024: Temperature: 9°C Wind: 8km/h Humidity:83% .
16th January 2024: Temperature: 9°C Wind: 10km/h Humidity:94% .
17th January 2024: Temperature: 10°C Wind: 6km/h Humidity:83% .
18th January 2024: Temperature: 10°C Wind: 6km/h Humidity:94% .
19th January 2024: Temperature: 10°C Wind: 6km/h Humidity:83% .
20th January 2024: Temperature: 8°C Wind: 7km/h Humidity:88% .
21st January 2024: Temperature: 9°C Wind: 7km/h Humidity:78% .
22nd January 2024: Temperature: 9°C Wind: 7km/h Humidity:83% .
23rd January 2024: Temperature: 10°C Wind: 7km/h Humidity:88% .
24th January 2024: Temperature: 8°C Wind: 11km/h Humidity:78% .
25th January 2024: Temperature: 10°C Wind: 8km/h Humidity:73% .
26th January 2024: Temperature: 11°C Wind: 6km/h Humidity:94% .
27th January 2024: Temperature: 9°C Wind: 7km/h Humidity:88% .
28th January 2024: Temperature: 8°C Wind: 10km/h Humidity:78% .
29th January 2024: Temperature: 9°C Wind: 12km/h Humidity:78% .
30th January 2024: Temperature: 9°C Wind: 9km/h Humidity:88% .
31st January 2024: Temperature: 9°C Wind: 11km/h Humidity:83% .
FEBRUARY 2024.
1st February 2024: Temperature: 9°C Wind: 9km/h Humidity:61% .
2nd February 2024: Temperature: 12°C Wind: 17km/h Humidity:78% .
3rd February 2024: Temperature: 8°C Wind: 19km/h Humidity:79% .
4th February 2024: Temperature: 7°C Wind: 14km/h Humidity:74% .
5th February 2024: Temperature: 11°C Wind: 11km/h Humidity:72% .
6th February 2024: Temperature: 8°C Wind: 11km/h Humidity:61% .
7th February 2024: Temperature: 10°C Wind: 14km/h Humidity:61% .
8th February 2024: Temperature: 7°C Wind: 19km/h Humidity:69% .
9th February 2024: Temperature: 11°C Wind: 16km/h Humidity:68% .
10th February 2024: Temperature: 13°C Wind: 13km/h Humidity:58% .
11th February 2024: Temperature: 12°C Wind: 10km/h Humidity:71% .
12th February 2024: Temperature: 0°C Wind: 14km/h Humidity:76% .
13th February 2024: Temperature: 3°C Wind: 18km/h Humidity:62% .
